date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value,run_id,run_type,scope,date_start,date_end
2019-02-28,MDP,1,250,2,0.0827858817646173,0,9,success,-2.2589198747778365,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-02-28,CtB-only,1,250,3,0.015550282268137,0,9,success,0.0021805777401396,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-02-28,Main,1,250,2,1.2994208816526946e-07,0,10,success,0.0023200815593509,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-03-29,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-03-29,GMV,1,0,55,0.0001577144638194,0,7,success,0.0003449099523862,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-03-29,CtR-only,1,250,2,2.972596891292902e-11,0,10,success,0.0001970943680697,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-03-29,MDP,1,250,2,0.0905840664107889,0,9,success,-2.2232546010348333,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-03-29,CtB-only,1,250,3,0.0169821677593537,0,9,success,0.0026319611271473,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-03-29,Main,1,250,2,5.0433689317492655e-08,0,10,success,0.002232733713242,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-04-30,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-04-30,GMV,1,0,58,0.0001969871134577,0,7,success,0.0003566296101825,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-04-30,CtR-only,1,204,2,1.9200261218228067e-10,0,10,success,0.0001939928019264,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-04-30,MDP,1,250,2,0.0813820990227161,0,9,success,-2.21969280276047,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-04-30,CtB-only,1,250,3,0.0153025322283755,0,9,success,0.0022528580515057,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-04-30,Main,1,213,3,6.597392344032211e-09,0,10,success,0.0018800514432911,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-05-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-05-31,GMV,1,0,59,0.0002008333836178,0,7,success,0.0003545235250251,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-05-31,CtR-only,1,200,2,1.9732144613981608e-10,0,10,success,0.0001940499465643,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-05-31,MDP,1,250,2,0.0809410867663729,0,9,success,-2.2524970688051758,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-05-31,CtB-only,1,250,3,0.0157076396166004,0,9,success,0.0024134778246752,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2019-05-31,Main,1,250,2,4.141274940747628e-08,0,10,success,0.0024299595940582,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
