date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2024-01-31,MDP,1,219,1,0.09382625227632077,0,7,success,-1.7459860406364405
2024-01-31,CtB-only,1,300,2,0.008253012556848868,0,7,success,0.0013639743162895696
2024-01-31,Main,1,132,2,1.1069494984361815e-10,0,10,success,0.006308010181119299
2024-02-29,EW,1,0,0,0.0,0,10,success,0.0
2024-02-29,GMV,1,0,33,0.0013444214609589127,0,3,success,0.0010505795341179424
2024-02-29,CtR-only,1,230,2,2.61313304604682e-11,0,10,success,0.0001525908731340283
2024-02-29,MDP,1,175,2,0.1191228105490668,0,7,success,-1.7830236296354212
2024-02-29,CtB-only,1,300,2,0.010608579106072725,0,7,success,0.001820046795124217
2024-02-29,Main,1,187,1,8.118061054494523e-11,0,10,success,0.007814597658856864
2024-03-28,EW,1,0,0,0.0,0,10,success,0.0
2024-03-28,GMV,1,0,31,0.0012168268772890047,0,3,success,0.0008093670516981834
2024-03-28,CtR-only,1,300,2,1.9911687724877813e-11,0,10,success,0.00017284667594595014
2024-03-28,MDP,1,173,2,0.13949053559221314,0,7,success,-1.706041254848452
2024-03-28,CtB-only,1,300,2,0.01655561592583589,0,7,success,0.0029412468299684622
2024-03-28,Main,1,300,2,5.554908534596159e-11,0,10,success,0.00978552143990372
2024-04-30,EW,1,0,0,0.0,0,10,success,0.0
2024-04-30,GMV,1,0,26,0.0012454334524431494,0,3,success,0.0007981474871927216
2024-04-30,CtR-only,1,255,2,1.6158205323002274e-11,0,10,success,0.0001624728950552594
2024-04-30,MDP,1,182,2,0.13246352409620293,0,6,success,-1.7072964356727838
2024-04-30,CtB-only,1,300,2,0.02029598734620653,0,7,success,0.002795396779924686
2024-04-30,Main,1,300,2,5.322520622385694e-11,0,10,success,0.010720261744921113
2024-05-31,EW,1,0,0,0.0,0,10,success,0.0
2024-05-31,GMV,1,0,29,0.0011471617108414335,0,3,success,0.0007478742513009084
2024-05-31,CtR-only,1,271,2,1.583464710911374e-11,0,10,success,0.0001658712365627774
2024-05-31,MDP,1,189,2,0.12711407003186764,0,7,success,-1.6672922142169708
2024-05-31,CtB-only,1,300,2,0.013068217780514079,0,8,success,0.002920799188085748
2024-05-31,Main,1,300,1,7.810350442797821e-11,0,10,success,0.01094183456233309
2024-06-28,EW,1,0,0,0.0,0,10,success,0.0
2024-06-28,GMV,1,0,27,0.0011755149988431244,0,3,success,0.0007391812576872223
2024-06-28,CtR-only,1,197,2,1.4414085232017166e-11,0,10,success,0.0001639261734153182
2024-06-28,MDP,1,188,2,0.103980712833982,0,7,success,-1.6558830521198242
2024-06-28,CtB-only,1,300,2,0.011790660387644356,0,8,success,0.0020863842585351323
2024-06-28,Main,1,300,1,8.451548918916942e-11,0,10,success,0.010458924259538215
2024-07-31,EW,1,0,0,0.0,0,10,success,0.0
2024-07-31,GMV,1,0,27,0.0011162113944432348,0,3,success,0.0007190380847605724
2024-07-31,CtR-only,1,233,2,1.5121966036701473e-11,0,10,success,0.0001663468134922883
2024-07-31,MDP,1,186,2,0.10144591193827528,0,7,success,-1.6676512462606645
2024-07-31,CtB-only,1,300,2,0.011144598174522282,0,8,success,0.002098227739664434
2024-07-31,Main,1,300,2,9.541136818703317e-11,0,10,success,0.010368868169710025
2024-08-30,EW,1,0,0,0.0,0,10,success,0.0
2024-08-30,GMV,1,0,31,0.0010793463867835875,0,3,success,0.0007728402615278313
2024-08-30,CtR-only,1,255,2,2.6349722368493656e-11,0,10,success,0.0001674733109910345
2024-08-30,MDP,1,192,2,0.10442146970864076,0,7,success,-1.7156956718780922
2024-08-30,CtB-only,1,300,2,0.010571788254847118,0,8,success,0.0017868459555422898
2024-08-30,Main,1,300,2,8.0679096366777e-11,0,10,success,0.009513252763948198
2024-09-30,EW,1,0,0,0.0,0,10,success,0.0
2024-09-30,GMV,1,0,31,0.0010638593238913032,0,3,success,0.0008027476551761372
2024-09-30,CtR-only,1,227,2,2.7457107291515904e-11,0,10,success,0.00016773380280788494
2024-09-30,MDP,1,193,1,0.1130424865632581,0,7,success,-1.7147066918899896
2024-09-30,CtB-only,1,261,2,0.009977680488265389,0,7,success,0.0016879490310261007
2024-09-30,Main,1,300,2,4.407443858389198e-11,0,10,success,0.008187077592458986
2024-10-31,EW,1,0,0,0.0,0,10,success,0.0
2024-10-31,GMV,1,0,33,0.0012025299821816025,0,4,success,0.000802325786248926
2024-10-31,CtR-only,1,275,2,2.7042763082958793e-11,0,10,success,0.0001652143582742777
2024-10-31,MDP,1,300,2,0.12325796404800722,0,7,success,-1.735428293222362
2024-10-31,CtB-only,1,300,2,0.015356032980647808,0,7,success,0.0022386230727162314
2024-10-31,Main,1,300,2,2.7330842251861312e-11,0,10,success,0.009634170413482187
2024-11-29,EW,1,0,0,0.0,0,10,success,0.0
2024-11-29,GMV,1,0,32,0.0012213731554400083,0,4,success,0.0007461006220112581
2024-11-29,CtR-only,1,177,2,1.771722243134495e-11,0,10,success,0.00016889049969253617
2024-11-29,MDP,1,188,2,0.1498661412860024,0,6,success,-1.751327793708227
2024-11-29,CtB-only,1,300,2,0.03133042851784445,0,7,success,0.002971439389853868
2024-11-29,Main,1,300,1,3.76568871946893e-11,0,10,success,0.011319323692557384
