date,strategy,period_return,wealth,drawdown
2024-02-29,CtR-only,0.0019166486134054,1.005192141073963,-0.03136075850092046
2024-03-28,CtR-only,0.0208228871996503,1.0261231436415212,-0.011190892838030209
2024-04-30,CtR-only,-0.0129700629454945,1.012814261878662,-0.02401580919899926
2024-05-31,CtR-only,0.0181556761403205,1.0312025896076287,-0.006296156312743495
2024-06-28,CtR-only,0.0076057831254403,1.0390456928625769,0.0
2024-07-31,CtR-only,0.0176733585374608,1.0574091199293416,0.0
2024-08-30,CtR-only,0.0119322210113104,1.0700263592477137,0.0
2024-09-30,CtR-only,0.0185556352387799,1.0898813780657939,0.0
2024-10-31,CtR-only,-0.0125519737268475,1.0762012156429317,-0.012551973726847465
2024-11-29,CtR-only,0.0056851994753979,1.0823196342295276,-0.00693813472589655
2024-12-31,CtR-only,-0.0133773813284198,1.0678410317632034,-0.02022270198038001
2025-01-31,CtR-only,0.0152668222356655,1.084143570971082,-0.005264616140973732
2025-02-28,CtR-only,0.0139037047104817,1.0992171830456312,0.0
2025-03-31,CtR-only,0.0048755511011344,1.1045764725928153,0.0
2025-04-30,CtR-only,0.001049245188619,1.1057354441421452,0.0
2025-05-30,CtR-only,0.0052798753515901,1.1115735894590508,0.0
2025-06-30,CtR-only,0.0177664359662634,1.1313222904579647,0.0
2025-07-31,CtR-only,0.0014193142580543,1.1329279923152664,0.0
2025-08-29,CtR-only,0.0169538117861676,1.1521354402642603,0.0
2025-09-30,CtR-only,0.0180503774241858,1.1729319198048107,0.0
2025-10-31,CtR-only,0.0081338308908189,1.1824723496869467,0.0
2025-11-28,CtR-only,0.0087301364869254,1.1927954946917292,0.0
2025-12-30,CtR-only,0.0040336473344717,1.1976068110594624,0.0
